morp,morp_desen,behaviour,o3site,icd10,comments
9010/0,"Fibroadenoma, NOS (C50_)",Benign,"C509, All Other Sites","D24, See Topo Table B Col E",
9011/0,Intracanalicular fibroadenoma  (C50_),Benign,"C509, All Other Sites","D24, See Topo Table B Col E",
9012/0,Pericanalicular fibroadenoma (C50_),Benign,"C509, All Other Sites","D24, See Topo Table B Col E",
9013/0,"Adenofibroma, NOS (C569)",Benign,"C569, All Other Sites","D27, See Topo Table B Col E",
9014/0,"Serous adenofibroma, NOS (C569)",Benign,"C569, All Other Sites","D27, See Topo Table B Col E",
9015/0,"Mucinous adenofibroma, NOS (C569)",Benign,"C569, All Other Sites","D27, See Topo Table B Col E",
9016/0,Giant fibroadenoma (C50_),Benign,"C509, All Other Sites","D24, See Topo Table B Col E",
9020/0,"Phyllodes tumor, benign (C50_)",Benign,"C509, All Other Sites","D24, See Topo Table B Col E",
9030/0,Juvenile fibroadenoma (C50_),Benign,"C509, All Other Sites","D24, See Topo Table B Col E",
9040/0,"Synovioma, benign (C49_)",Benign,"C499, All Other Sites","D21.9, See Topo Table B Col E",
9050/0,"Mesothelioma, benign (C384)",Benign,"C384, All Other Sites","D19.0, See Topo Table B, Col E",
9051/0,"Fibrous mesothelioma, benign (C384)",Benign,"C384, All Other Sites","D19.0, See Topo Table B, Col E",
9052/0,Well differentiated papillary mesothelioma (C384),Benign,"C384, All Other Sites","D19.0, See Topo Table B, Col E",
9054/0,"Adenomatoid tumor, NOS (C384)",Benign,"C384, All Other Sites","D19.0, See Topo Table B, Col E",
9055/0,"Peritoneal inclusion cysts (C48_) (ICD-O-3 update, previously 9055/1)",Benign,"C488, All Other Sites","D21.0, See Topo Table B Col E",
9080/0,"Teratoma, benign",Benign,Specific Sites,See Topo Table B Col E,
9084/0,"Dermoid cyst, NOS",Benign,Specific Sites,See Topo Table B Col E,
9090/0,"Struma ovarii, NOS (C569)",Benign,"C569, All Other Sites","D27, See Topo Table B Col E",
9100/0,"Hydatidiform mole, NOS (C589)",Benign,"C589, All Other Sites","D26.7, See Topo Table B Col E",
9103/0,Partial hydatidiform mole (C589),Benign,"C589, All Other Sites","D26.7, See Topo Table B Col E",
9110/0,Adenoma of rete ovarii,Benign,Specific Sites,See Topo Table B Col E,
9120/0,"Hemangioma, NOS",Benign,All sites,D18.0,
9121/0,Cavernous hemangioma,Benign,All sites,D18.0,
9122/0,Venous hemangioma,Benign,All sites,D18.0,
9123/0,Racemose hemangioma,Benign,All sites,D18.0,
9125/0,Epithelioid hemangioma,Benign,All sites,D18.0,
9126/0,Atypical vascular lesion (ICD-O-3.2 update),Benign,Specific Sites,See Topo Table B Col E,
9130/0,"Hemangioendothelioma, benign",Benign,All sites,D18.0,
9131/0,Capillary hemangioma,Benign,All sites,D18.0,
9132/0,Intramuscular hemangioma,Benign,All sites,D18.0,
9137/0,Myointimoma (ICD-O-3.2 update),Benign,Specific Sites,See Topo Table B Col E,New code 2021+
9141/0,Angiokeratoma,Benign,All Sites,D18.0,
9142/0,Verrucous keratotic hemangioma,Benign,All Sites,D18.0,
9150/0,"Hemangiopericytoma, benign  (ICD-O-3.2 update, see code 8815/1)",Benign,All Sites,D18.0,
9160/0,"Angiofibroma, NOS",Benign,All Sites,D18.0,
9161/0,Acquired tufted hemangioma,Benign,All Sites,D18.0,
9170/0,"Lymphangioma, NOS",Benign,All Sites,D18.1,
9171/0,Capillary lymphangioma,Benign,All Sites,D18.1,
9172/0,Cavernous lymphangioma,Benign,All Sites,D18.1,
9173/0,Cystic lymphangioma,Benign,All Sites,D18.1,
9174/0,Lymphangiomyoma,Benign,All Sites,D18.1,
9175/0,Hemolymphangioma,Benign,All Sites,D18.1,
9180/0,"Osteoma, NOS (C40_, C41_)",Benign,"C409, C419, All Other Sites","D16.9, See Topo Table B Col E",
9191/0,"Osteoid osteoma (C40_, C41_)",Benign,"C409, C419, All Other Sites","D16.9, See Topo Table B Col E",
9200/0,"Osteoblastoma, NOS (C40_, C41_)",Benign,"C409, C419, All Other Sites","D16.9, See Topo Table B Col E",
9210/0,"Osteochondroma (C40_, C41_)",Benign,"C409, C419, All Other Sites","D16.9, See Topo Table B Col E",
9211/0,Osteochondromyxoma (ICD-O-3.2 update),Benign,Specific Sites,See Topo Table B Col E,New code 2021+
9212/0,Bizarre parosteal osteochondromatous proliferation (ICD-O-3.2 update),Benign,Specific Sites,See Topo Table B Col E,New code 2021+
9213/0,Subungal exostosis (ICD-O-3.2 update),Benign,Specific Sites,See Topo Table B Col E,
9220/0,"Chondroma, NOS (C40_, C41.)",Benign,"C409, C419, All Other Sites","D16.9, See Topo Table B Col E",
9221/0,"Periosteal chondroma (C40_, C41_)",Benign,"C409, C419, All Other Sites","D16.9, See Topo Table B Col E",
9230/0,"Chondroblastoma, NOS (C40_, C41_) (ICD-O-3.2 update, see code 9230/1)",Benign,"C409, C419, All Other Sites","D16.9, See Topo Table B Col E",
9241/0,"Chondromyxoid fibroma (C40_, C41_)",Benign,"C409, C419, All Other Sites","D16.9, See Topo Table B Col E",
9252/0,Tenosynovial giant cell tumor  (C49_),Benign,"C499, All Other Sites","D21.9, See Topo Table B Col E",
9260/0,Aneurysmal bone cyst (ICD-O-3.2 update),Benign,"C409, C419, All Other Sites","D16.9, See Topo Table B Col E",
9262/0,"Ossifying fibroma (C40_, C41_)",Benign,"C409, C419, All Other Sites","D16.9, See Topo Table B Col E",
9270/0,"Odontogenic tumor, benign (C41_)",Benign,"C419, All Other Sites","D16.9, See Topo Table B Col E",
9271/0,Ameloblastic fibrodentinoma (C41_),Benign,"C419, All Other Sites","D16.9, See Topo Table B Col E",
9272/0,"Cementoma, NOS  (C41_)",Benign,"C419, All Other Sites","D16.9, See Topo Table B Col E",
9273/0,"Cementoblastoma, benign (C41_)",Benign,"C419, All Other Sites","D16.9, See Topo Table B Col E",
9274/0,Cemento-ossifying fibroma (C41_),Benign,"C419, All Other Sites","D16.9, See Topo Table B Col E",
9275/0,Gigantiform cementoma (C41_),Benign,"C419, All Other Sites","D16.9, See Topo Table B Col E",
9280/0,"Odontoma, NOS (C41_)",Benign,"C419, All Other Sites","D16.9, See Topo Table B Col E",
9281/0,Compound odontoma (C41_),Benign,"C419, All Other Sites","D16.9, See Topo Table B Col E",
9282/0,Complex odontoma (C41_),Benign,"C419, All Other Sites","D16.9, See Topo Table B Col E",
9290/0,Ameloblastic fibro-odontoma (C41_),Benign,"C419, All Other Sites","D16.9, See Topo Table B Col E",
9300/0,Adenomatoid odontogenic tumor  (C41_),Benign,"C419, All Other Sites","D16.9, See Topo Table B Col E",
9301/0,Calcifying odontogenic cyst (C41_),Benign,"C419, All Other Sites","D16.9, See Topo Table B Col E",
9302/0,Dentinogenic ghost cell tumor (C41_),Benign,"C419, All Other Sites","D16.9, See Topo Table B Col E",
9310/0,"Ameloblastoma, NOS (C41_)",Benign,"C419, All Other Sites","D16.9, See Topo Table B Col E",
9311/0,Odontoameloblastoma (C41_),Benign,"C419, All Other Sites","D16.9, See Topo Table B Col E",
9312/0,Squamous odontogenic tumor (C41_),Benign,"C419, All Other Sites","D16.9, See Topo Table B Col E",
9320/0,Odontogenic myxoma (C41_),Benign,"C419, All Other Sites","D16.9, See Topo Table B Col E",
9321/0,"Odontogenic fibroma, NOS (C41_)",Benign,"C419, All Other Sites","D16.9, See Topo Table B Col E",
9322/0,Peripheral odontogenic fibroma (C41_),Benign,"C419, All Other Sites","D16.9, See Topo Table B Col E",
9330/0,Ameloblastic fibroma (C41_),Benign,"C419, All Other Sites","D16.9, See Topo Table B Col E",
9340/0,Calcifying epithelial odontogenic tumor (C41_),Benign,"C419, All Other Sites","D16.9, See Topo Table B Col E",
9350/0,"Craniopharyngioma, benign (C752)",Benign,"C752, All Other Sites","D35.3, See Topo Table B Col E",Not listed in ICD-O-3.2
9351/0,"Craniopharyngioma, adamantinomatous, benign (C752)",Benign,"C752, All Other Sites","D35.3, See Topo Table B Col E",Not listed in ICD-O-3.2
9352/0,"Craniopharyngioma, papillary, benign (C752)",Benign,"C752, All Other Sites","D35.3, See Topo Table B Col E",Not listed in ICD-O-3.2
9360/0,"Pinealoma, benign (C753)",Benign,"C753, All Other Sites","D35.4, See Topo Table B Col E",Not listed in ICD-O-3.2
9363/0,"Melanotic neuroectodermal tumor (C40_, C41_)",Benign,"C409, C419, All Other Sites","D16.9, See Topo Table B Col E",
9370/0,Benign notochordal tumor (ICD-O-3.2 update),Benign,Specific Sites,See Topo Table B Col E,
9373/0,Parachordoma (C49_),Benign,"C499, All Other Sites","D21.9, See Topo Table B Col E",
9380/0,"Glioma, benign (C71_)",Benign,"C719, All Other Sites","D33.2, See Topo Table B Col E",Not listed in ICD-O-3.2
9381/0,"Gliomatosis cerebri, benign (C71_)",Benign,"C719, All Other Sites","D33.2, See Topo Table B Col E",Not listed in ICD-O-3.2
9383/0,"Subependymoma, benign (C71_)",Benign,"C719, All Other Sites","D33.2, See Topo Table B Col E",Not listed in ICD-O-3.2
9384/0,"Supependymal giant cell astrocytoma, benign (C71_)",Benign,"C719, All Other Sites","D33.2, See Topo Table B Col E",Not listed in ICD-O-3.2
9390/0,"Choroid plexus papilloma, NOS (C715)",Benign,"C715, All Other Sites","D33.2, See Topo Table B Col E",
9391/0,"Ependymoma, benign (C71_)",Benign,"C719, All Other Sites","D33.2, See Topo Table B Col E",Not listed in ICD-O-3.2
9393/0,"Papillary ependymoma, benign (C71_)",Benign,"C719, All Other Sites","D33.2, See Topo Table B Col E",Not listed in ICD-O-3.2
9394/0,"Myxopapillary ependymoma, benign (C71_)",Benign,"C719, All Other Sites","D33.2, See Topo Table B Col E",Not listed in ICD-O-3.2
9400/0,"Astrocytoma, benign (C71_)",Benign,"C719, All Other Sites","D33.2, See Topo Table B Col E",Not listed in ICD-O-3.2
9401/0,"Astrocytoma, anaplastic, benign (C71_)",Benign,"C719, All Other Sites","D33.2, See Topo Table B Col E",Not listed in ICD-O-3.2
9411/0,"Gemistocytic astrocytoma, benign (C71_)",Benign,"C719, All Other Sites","D33.2, See Topo Table B Col E",Not listed in ICD-O-3.2
9413/0,Dysembryoplastic neuroepithelial tumor,Benign,Specific Sites,See Topo Table B Col E,
9440/0,"Glioblastoma, NOS, benign (C71_)",Benign,"C719, All Other Sites","D33.2, See Topo Table B Col E",Not listed in ICD-O-3.2
9450/0,"Oligodendroglioma, benign  (C71_)",Benign,"C719, All Other Sites","D33.2, See Topo Table B Col E",Not listed in ICD-O-3.2
9490/0,Ganglioneuroma  (C49_),Benign,"C499, All Other Sites","D21.9, See Topo Table B Col E",
9491/0,Ganglioneuromatosis  (C49_),Benign,"C499, All Other Sites","D21.9, See Topo Table B Col E",
9492/0,Gangliocytoma  (C49_),Benign,"C499, All Other Sites","D21.9, See Topo Table B Col E",
9493/0,Dysplastic gangliocytoma of cerebellum (C716) (Lhermitte-Duclos),Benign,"C716, All Other Sites","D33.1, See Topo Table B Col E",
9500/0,"Neuroblastoma, NOS, benign",Benign,Specific Sites,See Topo Table B Col E,Not listed in ICD-O-3.2
9501/0,"Medulloepithelioma, benign (C694)",Benign,"C694, All Other Sites","D31.4, See Topo Table B Col E",
9502/0,"Teratoid medulloepithelioma, benign (C694)",Benign,"C694, All Other Sites","D31.4, See Topo Table B Col E",
9505/0,Multinodular and vascolating neuronal tumor (C712) (MVNT) (ICD-O-3.2 Update),Benign,"C712, All Other Sites","D33.0, See Topo Table B Col E",
9506/0,"Central neurocytoma, benign (C716)",Benign,"C716, All Other Sites","D33.1, See Topo Table B Col E",Not listed in ICD-O-3.2
9507/0,Pacinian tumor,Benign,Specific Sites,See Topo Table B Col E,
9509/0,Multinodlar and vacuolating neuronal tumor (C71_) (2023 update),Benign,"C719, All Other Sites","D33.1, See Topo Table B Col E",
9510/0,Retinocytoma (C692),Benign,"C692, All Other Sites","D31.2, See Topo Table B Col E",
9530/0,"Meningioma, NOS (C70_)",Benign,"C709, All Other Sites","D32.9, See Topo Table B Col E",
9531/0,Meningiothelial meningioma (C70_),Benign,"C709, All Other Sites","D32.9, See Topo Table B Col E",
9532/0,Fibrous meningioma (C70_),Benign,"C709, All Other Sites","D32.9, See Topo Table B Col E",
9533/0,Psammomatous meningioma (C70_),Benign,"C709, All Other Sites","D32.9, See Topo Table B Col E",
9534/0,Angiomatous meningioma (C70_),Benign,"C709, All Other Sites","D32.9, See Topo Table B Col E",
9535/0,Hemangioblastic meningioma [OBS] (C70_),Benign,"C709, All Other Sites","D32.9, See Topo Table B Col E",
9537/0,Transitional meningioma (C70_),Benign,"C709, All Other Sites","D32.9, See Topo Table B Col E",
9538/0,"Clear cell meningioma, benign (C70_)",Benign,"C709, All Other Sites","D32.9, See Topo Table B Col E",Not listed in ICD-O-3.2
9539/0,"Atypical meningioma, benign (C70_)",Benign,"C709, All Other Sites","D32.9, See Topo Table B Col E",Not listed in ICD-O-3.2
9540/0,"Neurofibroma, NOS",Benign,Specific Sites,See Topo Table B Col E,
9541/0,Melanotic neurofibroma,Benign,Specific Sites,See Topo Table B Col E,
9550/0,"Plexiform neurofibroma, NOS",Benign,Specific Sites,See Topo Table B Col E,
9560/0,"Schwannoma, NOS (ICD-O-3.2 update, see 9560/1)",Benign,Specific Sites,See Topo Table B Col E,
9562/0,Nerve sheath myxoma,Benign,Specific Sites,See Topo Table B Col E,
9563/0,"Nerve sheath tumor, NOS (ICD-O-3.2 update)",Benign,Specific Sites,See Topo Table B Col E,New code 2021+
9570/0,"Neuroma, NOS",Benign,Specific Sites,See Topo Table B Col E,
9571/0,"Perineurioma, benign, NOS",Benign,Specific Sites,See Topo Table B Col E,
9580/0,"Granular cell tumor, NOS (C49_)",Benign,"C499, All Other Sites","D21.9, See Topo Table B Col E",
9582/0,Granular cell tumor of the sellar region  (C751),Benign,"C751, All Other Sites","D35.2, See Topo Table B Col E",
